"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Andrelton Simmons","Angels","149","624","573","164","30","3","12","63","71","41","55","4","13","2",".286",".335",".412",".747",".324","17.0","1.4","5.3","244.7","10847"
"Ender Inciarte","Braves","153","643","591","168","28","6","11","64","72","46","75","3","27","8",".284",".337",".408",".745",".323","9.0","1.7","3.4","137.9","4922"
"Yadier Molina","Cardinals","136","567","518","142","24","1","17","63","69","36","66","7","6","2",".274",".326",".423",".749",".323","2.0","0.0","3.4","145.0","7007"
"Mallex Smith","Mariners","143","655","591","167","23","12","4","82","49","56","113","6","36","10",".283",".350",".382",".732",".323","1.0","2.7","3.5","105.3","13608"
"Josh Reddick","Astros","134","545","489","130","22","2","15","58","62","51","76","0","6","2",".266",".332",".411",".743",".321","1.0","0.0","1.7","532.5","3892"
"Marcus Semien","Athletics","156","653","587","150","34","2","19","72","79","60","111","1","16","3",".256",".323",".417",".741",".321","5.0","1.6","4.0","234.5","12533"
"Tim Anderson","White Sox","156","646","605","158","28","5","24","76","82","36","130","3","32","6",".261",".305",".443",".748",".320","4.0","3.6","4.0","135.4","15172"
"Greg Bird","Yankees","75","305","269","64","14","0","12","36","38","28","75","4","0","0",".238",".315",".424",".739",".319","0.0","-0.2","0.5","505.5","14131"
"Adalberto Mondesi","Royals","142","624","588","154","25","11","22","72","73","28","153","3","50","6",".262",".296",".454",".751",".319","7.0","7.3","4.1","38.3","13769"
"Manuel Margot","Padres","135","557","509","137","25","10","10","53","57","40","88","3","21","7",".269",".323",".417",".740",".318","5.0","1.0","2.7","288.7","14712"
"Niko Goodrum","Tigers","129","526","476","119","25","4","16","57","61","44","128","3","15","4",".250",".316",".420",".736",".318","-3.0","1.1","1.8","321.7","12092"
"Evan Longoria","Giants","143","607","559","144","33","3","22","68","76","35","98","5","5","2",".258",".303",".445",".749",".317","0.0","-0.1","2.2","466.5","9368"
"Wilmer Flores","Diamondbacks","128","544","499","135","26","0","17","58","66","31","60","5","1","0",".271",".314",".425",".739",".317","-3.0","-0.1","0.8","408.1","5827"
"Brett Gardner","","119","483","424","106","17","4","10","47","51","51","86","5","14","2",".250",".335",".380",".715",".316","5.0","1.7","1.6","410.1","9927"
"Dansby Swanson","Braves","136","535","478","122","28","4","13","60","62","51","107","3","12","3",".255",".329",".412",".741",".316","5.0","0.9","2.7","495.8","18314"
"Amed Rosario","Mets","150","595","554","149","25","11","13","62","66","32","118","4","30","9",".269",".311",".424",".735",".314","3.0","2.0","3.3","143.6","15518"
"Orlando Arcia","Brewers","138","554","513","140","21","4","13","56","62","37","111","2","14","4",".273",".323",".405",".729",".314","4.0","0.8","2.5","514.3","13185"
"Jake Cave","Twins","75","305","280","72","11","3","9","32","34","20","86","3","2","1",".257",".311",".414",".726",".313","0.0","-0.2","0.6","573.9","14477"
"Albert Pujols","Angels","118","496","460","118","20","0","20","58","63","30","60","2","2","0",".257",".302",".430",".733",".312","0.0","0.1","0.5","547.3","1177"
"Addison Russell","Cubs","93","365","325","81","15","2","9","41","42","33","79","5","3","0",".249",".326",".391",".717",".312","4.0","0.4","1.9","571.4","14106"
"Scott Kingery","Phillies","132","543","495","129","24","3","13","53","57","36","110","7","15","3",".261",".317",".400",".717",".311","2.0","1.5","2.0","461.3","17975"
"Albert Almora Jr.","Cubs","133","546","510","148","22","2","8","48","52","29","88","1","3","1",".290",".326",".388",".714",".310","3.0","-0.2","1.6","576.6","14109"
"Joe Panik","Giants","120","498","451","123","21","4","7","44","48","38","37","4","4","1",".273",".331",".384",".715",".310","1.0","0.1","1.6","580.0","11936"
"Brandon Crawford","Giants","148","605","540","138","27","4","15","59","63","53","111","4","5","2",".256",".322",".404",".726",".310","5.0","-0.2","2.8","520.3","5343"
"Byron Buxton","Twins","135","546","504","126","25","7","15","55","60","34","142","5","32","2",".250",".302",".417",".719",".309","13.0","5.3","3.4","149.3","14161"
"Michael A. Taylor","Nationals","121","493","453","112","24","3","14","50","53","37","135","2","23","5",".247",".306",".406",".712",".307","6.0","2.3","1.7","533.7","11489"
"Tucker Barnhart","Reds","135","529","472","121","25","2","9","54","55","51","93","3","2","1",".256",".331",".375",".706",".306","5.0","-0.3","2.5","267.4","10200"
"Adam Duvall","Braves","97","404","362","83","15","1","16","45","48","32","109","5","3","1",".229",".297",".409",".706",".304","3.0","0.0","0.7","584.8","10950"
"Yolmer Sanchez","White Sox","133","546","502","128","24","7","10","48","52","36","95","5","8","3",".255",".310",".390",".700",".304","4.0","0.1","1.9","558.7","11602"
"Neil Walker","Marlins","99","392","346","84","14","1","9","39","42","40","82","3","0","0",".243",".324",".367",".691",".304","-1.0","-0.2","0.4","561.9","7539"
"Kevin Pillar","Blue Jays","138","553","519","133","34","1","14","53","58","24","92","6","14","4",".256",".295",".407",".701",".302","3.0","0.9","1.8","374.4","12434"
"Devon Travis","Blue Jays","96","388","366","94","21","1","10","37","41","19","70","2","5","1",".257",".296",".402",".698",".302","-1.0","0.4","0.9","596.0","13862"
"Lewis Brinson","Marlins","123","507","465","113","18","6","15","50","54","33","134","5","12","3",".243",".298",".404",".702",".302","1.0","0.9","1.5","413.1","14352"
"Jorge Alfaro","Marlins","114","456","421","103","20","2","14","46","51","22","140","11","3","1",".245",".298",".401",".700",".301","4.0","0.0","2.3","247.5","12180"
"Freddy Galvis","Blue Jays","156","633","583","148","31","5","13","56","61","42","123","3","7","2",".254",".305",".391",".696",".300","2.0","0.2","2.2","564.1","6609"
"Dee Gordon","Mariners","138","566","542","157","16","9","3","41","45","15","65","6","38","8",".290",".314",".369",".683",".297","5.0","4.0","2.4","106.2","8203"
"Jason Castro","Twins","100","385","337","76","16","1","7","39","39","44","112","3","0","0",".226",".319",".341",".661",".296","3.0","-0.2","1.6","586.2","8722"
"Brandon Drury","Blue Jays","90","363","332","83","17","1","6","30","33","25","83","4","2","1",".250",".309",".361",".670",".294","0.0","-0.2","0.6","583.8","11615"
"Wilmer Difo","Nationals","97","389","354","91","11","3","6","32","35","30","61","2","11","3",".257",".316",".356",".672",".293","2.0","0.7","0.8","594.9","14320"
"Juan Lagares","Mets","95","366","339","92","9","3","3","33","32","20","62","5","11","3",".271",".320",".342",".662",".292","6.0","0.7","1.3","599.9","5384"
"Luke Maile","Blue Jays","58","213","191","44","11","0","3","21","19","19","58","2","2","0",".230",".305",".335",".640",".285","1.0","0.3","0.7","599.8","13355"
"Martin Maldonado","Royals","121","465","428","100","18","1","12","48","47","21","100","14","0","0",".234",".290",".364",".655",".285","5.0","-0.2","1.7","558.3","6887"
"Ehire Adrianza","Twins","75","281","257","66","11","1","2","24","23","20","55","1","5","2",".257",".310",".331",".640",".282","2.0","0.0","0.4","601.0","8418"
"Austin Romine","Yankees","69","261","240","57","11","0","6","26","25","16","61","2","0","0",".238",".287",".358",".646",".282","0.0","-0.1","0.6","560.7","5491"
"Ronald Torreyes","Twins","45","167","157","42","5","1","0","12","11","7","24","1","1","0",".268",".299",".312",".612",".270","1.0","0.1","0.0","999.0","11400"
